,3 & D Wing,Combo Guard,Defensive Forward,Offensive Big Man,Pace & Space Forward,Post-Heavy Big Man,Primary Distributing Ballhandler,Slashing Guard,Team,Team_year,3PAr,FTr,Pace,principal component 1,principal component 2,Cluster
56,1,1,1,2,1,0,3,0,Milwaukee Bucks/2018,Milwaukee Bucks/2018,0.297,0.281,96.2,0.16655921554598724,0.5422214341660766,3
57,1,2,3,0,0,2,1,0,Minnesota Timberwolves/2016,Minnesota Timberwolves/2016,0.202,0.332,95.2,-0.2942885191368787,-1.577441772716091,5
58,0,2,2,1,1,2,1,0,Minnesota Timberwolves/2017,Minnesota Timberwolves/2017,0.249,0.287,94.6,0.3882228315896178,-1.188825777800363,5
59,0,2,0,2,3,1,1,0,Minnesota Timberwolves/2018,Minnesota Timberwolves/2018,0.261,0.28,96.0,1.1095920076444536,0.6616735669852807,4
60,1,2,1,0,2,1,2,0,New Orleans Pelicans/2016,New Orleans Pelicans/2016,0.277,0.259,96.8,-0.35814415170766145,0.9580778862244327,1
61,0,3,1,2,1,1,1,0,New Orleans Pelicans/2017,New Orleans Pelicans/2017,0.308,0.256,98.0,1.504925929328441,0.34890785320530976,4
62,0,1,2,1,1,1,1,2,New Orleans Pelicans/2018,New Orleans Pelicans/2018,0.319,0.237,100.5,-0.2529095316976588,-1.045027546726678,5
63,1,1,3,1,1,0,0,2,New York Knicks/2016,New York Knicks/2016,0.256,0.255,93.4,-2.531905340745871,-1.5457209336671043,0
64,0,1,2,1,2,0,1,2,New York Knicks/2017,New York Knicks/2017,0.279,0.239,96.0,-1.7112036460409819,-1.003946246914282,0
65,1,1,1,1,1,2,0,2,New York Knicks/2018,New York Knicks/2018,0.266,0.21600000000000005,96.8,-0.5766096760856847,-1.2215756981576043,5
66,3,2,0,2,0,1,1,0,Oklahoma City Thunder/2016,Oklahoma City Thunder/2016,0.275,0.292,96.7,1.1325002786490779,1.1134649311800913,1
67,0,2,1,2,1,1,2,0,Oklahoma City Thunder/2017,Oklahoma City Thunder/2017,0.295,0.295,97.8,1.540971811065825,-0.15767308409151762,4
68,0,1,1,2,1,1,3,0,Oklahoma City Thunder/2018,Oklahoma City Thunder/2018,0.345,0.275,96.7,1.186404821028443,-0.16553645956639734,4
69,2,0,3,0,2,0,1,1,Orlando Magic/2016,Orlando Magic/2016,0.255,0.232,96.0,-3.273798013753884,0.6924996261064861,2
70,0,2,2,2,2,0,1,0,Orlando Magic/2017,Orlando Magic/2017,0.3,0.246,96.8,-0.15020936129333204,0.8123075107354798,1
71,1,0,4,0,0,0,3,1,Orlando Magic/2018,Orlando Magic/2018,0.342,0.238,98.1,-2.371099389310587,-0.47426770354397013,0
72,1,2,0,1,1,2,1,0,Philadelphia 76ers/2016,Philadelphia 76ers/2016,0.327,0.269,97.9,1.7718336104358516,0.5396807528392575,4
73,0,1,2,0,0,2,2,2,Philadelphia 76ers/2017,Philadelphia 76ers/2017,0.349,0.258,98.5,0.05764244307385887,-2.2724966570128617,5
74,2,0,3,1,1,1,1,0,Philadelphia 76ers/2018,Philadelphia 76ers/2018,0.344,0.263,99.8,-0.5410596066032258,1.2324502076187254,1
75,0,2,2,1,1,0,2,1,Phoenix Suns/2016,Phoenix Suns/2016,0.302,0.271,98.5,-0.23404548937222097,-0.38986620933922267,3
77,0,2,3,0,1,1,2,0,Phoenix Suns/2017,Phoenix Suns/2017,0.255,0.297,100.3,-0.09908075040298468,-0.18657196427140538,3
79,0,2,0,2,1,1,3,0,Phoenix Suns/2018,Phoenix Suns/2018,0.32,0.275,100.3,2.221176461184647,0.5377907128211274,4
81,0,0,2,2,0,1,3,1,Portland Trail Blazers/2016,Portland Trail Blazers/2016,0.332,0.268,96.0,0.10697424234465593,-1.7456893408775165,5
82,0,1,1,1,3,0,3,0,Portland Trail Blazers/2017,Portland Trail Blazers/2017,0.322,0.275,96.7,-0.17202564064806464,1.0599497626391663,1
83,0,0,4,0,1,0,3,1,Portland Trail Blazers/2018,Portland Trail Blazers/2018,0.324,0.24,96.5,-2.576261634085188,-0.9106853175857201,0
84,0,2,2,2,1,1,1,0,Sacramento Kings/2016,Sacramento Kings/2016,0.26,0.295,100.0,1.214293591930966,-0.041678437448235586,4
85,1,2,1,3,1,0,1,0,Sacramento Kings/2017,Sacramento Kings/2017,0.29100000000000004,0.284,94.9,0.7407643921935129,0.4841633718119734,3
86,1,2,2,1,2,0,1,0,Sacramento Kings/2018,Sacramento Kings/2018,0.278,0.194,94.9,-1.7846441216161686,1.446994638468516,2
87,2,1,1,1,2,1,1,0,San Antonio Spurs/2016,San Antonio Spurs/2016,0.223,0.246,93.8,-1.2587894019964516,0.9531492197213661,2
88,0,2,1,1,2,1,1,1,San Antonio Spurs/2017,San Antonio Spurs/2017,0.281,0.263,94.2,-0.2104283981535873,-0.7891257976690287,3
89,2,1,1,1,1,0,3,0,San Antonio Spurs/2018,San Antonio Spurs/2018,0.282,0.245,95.0,-1.157201258864125,1.180601276436236,2
90,0,0,1,2,2,0,2,2,Toronto Raptors/2016,Toronto Raptors/2016,0.287,0.328,92.9,-0.5134734818316068,-2.1186643111996153,5
91,0,3,2,2,2,0,0,0,Toronto Raptors/2017,Toronto Raptors/2017,0.289,0.293,94.7,0.30170020291167954,0.2632929991386025,3
92,0,2,0,2,4,0,1,0,Toronto Raptors/2018,Toronto Raptors/2018,0.377,0.25,97.4,1.0237515449281396,2.2762883202797712,1
93,0,1,2,1,2,0,2,1,Utah Jazz/2016,Utah Jazz/2016,0.297,0.28600000000000003,91.0,-1.5122753419501374,-1.2808992403335353,0
94,0,1,3,0,1,0,2,2,Utah Jazz/2017,Utah Jazz/2017,0.327,0.28800000000000003,91.6,-2.2424682408556285,-2.4915910970835298,0
95,0,1,3,0,2,0,1,2,Utah Jazz/2018,Utah Jazz/2018,0.35700000000000004,0.26,95.7,-1.937188347148403,-1.1039648291508195,0
96,1,1,3,2,0,1,1,0,Washington Wizards/2016,Washington Wizards/2016,0.282,0.263,98.5,-0.00112754728544582,-0.07249005270144436,3
97,0,3,1,0,2,1,2,0,Washington Wizards/2017,Washington Wizards/2017,0.284,0.254,97.4,0.20915026233915968,0.6329579301418996,1
98,1,0,1,1,1,1,3,1,Washington Wizards/2018,Washington Wizards/2018,0.31,0.254,96.6,-0.48060906543186277,-0.4407334605508687,3
