,Player,Pos_x,Age_x,Tm_x,G_x,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,as_caliber,PC1,PC2,Cluster
657,Patty Mills\millspa02,PG,29,SAS,82,36,2107,6.7,16.4,0.411,3.7,9.9,0.3720000000000001,3.0,6.4,0.47,2.5,2.8,0.89,0.6,3.1,3.7,5.5,1.3,0.3,2.5,3.1,19.6,109.0,109,11.8,0.5579999999999999,0.607,0.173,1.4,6.8,4.1,16.0,1.3,0.4,12.6,17.8,2.0,2.1,4.1,0.093,0.9,-1.3,-0.4,0.9,0,1.5533563653140936,-0.6409145973468975,0
658,Paul Millsap\millspa01,PF,32,DEN,38,37,1143,8.8,18.9,0.464,1.7,4.9,0.345,7.1,14.0,0.506,4.9,7.0,0.696,2.8,7.8,10.6,4.6,1.7,1.9,3.2,4.3,24.1,109.0,109,17.0,0.5489999999999999,0.26,0.37,6.4,17.6,12.1,13.9,1.7,3.2,12.6,22.0,1.4,1.1,2.5,0.107,0.0,0.7,0.7,0.8,0,-1.0857899901781805,0.09047565732176172,6
659,Nikola Mirotic\mirotni01,PF,26,TOT,55,14,1494,9.9,22.1,0.447,4.4,11.5,0.377,5.5,10.5,0.525,3.6,4.4,0.818,1.9,11.2,13.1,2.6,1.4,1.3,2.0,3.5,27.7,111.0,107,18.7,0.5770000000000001,0.523,0.2,4.3,24.9,14.6,8.6,1.4,2.2,7.7,23.4,2.2,1.8,4.0,0.128,1.4,-0.7,0.6,1.0,0,-1.0320967353168407,-1.3861630272476377,3
660,Nikola Mirotic\mirotni01,PF,26,TOT,55,14,1494,9.9,22.1,0.447,4.4,11.5,0.377,5.5,10.5,0.525,3.6,4.4,0.818,1.9,11.2,13.1,2.6,1.4,1.3,2.0,3.5,27.7,111.0,107,22.0,0.624,0.5329999999999999,0.262,3.0,25.3,13.7,11.0,1.2,1.9,8.4,25.7,1.5,0.6,2.0,0.158,3.2,-1.4,1.9,0.6,0,-1.1013521598462517,-1.7489734234271521,3
661,Nikola Mirotic\mirotni01,PF,26,TOT,55,14,1494,9.9,22.1,0.447,4.4,11.5,0.377,5.5,10.5,0.525,3.6,4.4,0.818,1.9,11.2,13.1,2.6,1.4,1.3,2.0,3.5,27.7,111.0,107,16.3,0.539,0.516,0.152,5.3,24.6,15.3,6.8,1.6,2.4,7.1,21.8,0.7,1.2,1.9,0.106,0.0,-0.2,-0.2,0.4,0,-0.9664280337265727,-2.148268147998808,3
662,Nikola Mirotic\mirotni01,PF,26,CHI,25,3,622,11.2,23.7,0.474,5.4,12.6,0.429,5.8,11.1,0.525,5.1,6.2,0.823,1.4,11.1,12.5,3.1,1.2,1.0,2.4,3.5,33.0,117.0,110,18.7,0.5770000000000001,0.523,0.2,4.3,24.9,14.6,8.6,1.4,2.2,7.7,23.4,2.2,1.8,4.0,0.128,1.4,-0.7,0.6,1.0,0,-1.1713660389532121,-0.848760235870557,3
663,Nikola Mirotic\mirotni01,PF,26,CHI,25,3,622,11.2,23.7,0.474,5.4,12.6,0.429,5.8,11.1,0.525,5.1,6.2,0.823,1.4,11.1,12.5,3.1,1.2,1.0,2.4,3.5,33.0,117.0,110,22.0,0.624,0.5329999999999999,0.262,3.0,25.3,13.7,11.0,1.2,1.9,8.4,25.7,1.5,0.6,2.0,0.158,3.2,-1.4,1.9,0.6,0,-1.2406214634826234,-1.2115706320500728,3
664,Nikola Mirotic\mirotni01,PF,26,CHI,25,3,622,11.2,23.7,0.474,5.4,12.6,0.429,5.8,11.1,0.525,5.1,6.2,0.823,1.4,11.1,12.5,3.1,1.2,1.0,2.4,3.5,33.0,117.0,110,16.3,0.539,0.516,0.152,5.3,24.6,15.3,6.8,1.6,2.4,7.1,21.8,0.7,1.2,1.9,0.106,0.0,-0.2,-0.2,0.4,0,-1.1056973373629442,-1.610865356621729,3
665,Nikola Mirotic\mirotni01,PF,26,NOP,30,11,872,8.9,20.9,0.4270000000000001,3.6,10.8,0.335,5.3,10.1,0.524,2.6,3.2,0.81,2.2,11.2,13.5,2.2,1.6,1.4,1.7,3.4,24.0,107.0,106,18.7,0.5770000000000001,0.523,0.2,4.3,24.9,14.6,8.6,1.4,2.2,7.7,23.4,2.2,1.8,4.0,0.128,1.4,-0.7,0.6,1.0,0,-1.2694057782814654,-1.0088250921577933,3
666,Nikola Mirotic\mirotni01,PF,26,NOP,30,11,872,8.9,20.9,0.4270000000000001,3.6,10.8,0.335,5.3,10.1,0.524,2.6,3.2,0.81,2.2,11.2,13.5,2.2,1.6,1.4,1.7,3.4,24.0,107.0,106,22.0,0.624,0.5329999999999999,0.262,3.0,25.3,13.7,11.0,1.2,1.9,8.4,25.7,1.5,0.6,2.0,0.158,3.2,-1.4,1.9,0.6,0,-1.3386612028108762,-1.3716354883373092,3
